repeat_i,track,frame,fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
3,11,23,sample1_lower_right1,1,0,1,0,-1,0.470212,1063.532701,680.290500,1446.774903,766.484403,0.721272,125.501666,105.179017,145.824315,40.645299,0.925753,1.386801,1.333333,1.440269,0.106936,0.903847,0.813866,0.772763,0.854970,0.082208,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,25.735984,0.802758,1.060756,0.846909,0.056861,1.143945,36.674242,22.622765,0.705651,12.867660,0.401369,7.346775,0.229161,59.410208,153.819474,157.527312,150.111636,7.415675,0.952925
3,22,24,sample1_lower_right1,1,0,1,0,-1,0.943337,789.409602,766.392533,812.426671,46.034138,0.967285,109.573767,107.751615,111.395919,3.644304,0.984992,1.209759,1.200612,1.218906,0.018294,0.991841,0.826111,0.822726,0.829495,0.006768,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,28.334337,1.008575,1.095000,0.625549,0.231249,0.730726,20.528605,24.643401,0.877194,13.794361,0.491017,1.965249,0.069954,76.598984,123.323987,145.717497,100.930477,44.787021,0.692645
3,21,24,sample1_lower_right1,2,0,2,0,-1,0.851640,752.160673,691.894675,812.426671,120.531996,0.930374,107.517912,103.639904,111.395919,7.756015,0.881797,1.146867,1.074828,1.218906,0.144078,0.983876,0.816094,0.809461,0.822726,0.013266,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,23.778092,0.867703,1.186324,0.818491,0.041851,1.150623,31.531085,20.815063,0.759577,11.885263,0.433713,2.009873,0.073344,80.505566,166.227768,172.903875,159.551661,13.352214,0.922777
3,22,24,sample1_lower_right1,3,1,2,0,-1,0.902794,729.143604,691.894675,766.392533,74.497858,0.961841,105.695760,103.639904,107.751615,4.111710,0.895233,1.137720,1.074828,1.200612,0.125784,0.975848,0.819478,0.809461,0.829495,0.020034,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,29.663948,1.098915,1.624354,0.589733,0.244871,0.650394,17.556639,24.314308,0.900735,14.345285,0.531428,0.722500,0.026765,72.178177,129.432249,159.346635,99.517862,59.828773,0.624537
3,22,25,sample1_lower_right1,1,2,1,0,-1,0.870297,738.489438,687.276033,789.702843,102.426809,0.951578,106.026225,103.395507,108.656943,5.261436,0.953926,1.157788,1.130487,1.185089,0.054602,0.961123,0.824202,0.807863,0.840540,0.032677,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,30.050709,1.106481,1.684495,0.596054,0.234334,0.655242,17.795595,24.623845,0.906662,14.591720,0.537274,0.253302,0.009327,86.335703,130.747105,158.770678,102.723533,56.047145,0.646993
3,21,25,sample1_lower_right1,2,2,0,0,-1,0.833557,755.893158,687.276033,824.510282,137.234249,0.923684,107.666866,103.395507,111.938224,8.542717,0.913603,1.183941,1.130487,1.237395,0.106907,0.976987,0.817378,0.807863,0.826893,0.019030,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,23.707610,0.863190,1.163154,0.817056,0.044003,1.144175,31.424896,20.698260,0.753620,11.838064,0.431022,2.214637,0.080635,88.046746,167.924458,177.878773,157.970143,19.908630,0.888078
3,22,25,sample1_lower_right1,3,1,0,0,-1,0.957784,807.106563,789.702843,824.510282,34.807440,0.970687,110.297584,108.656943,111.938224,3.281281,0.957729,1.211242,1.185089,1.237395,0.052306,0.983763,0.833717,0.826893,0.840540,0.013648,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,28.968622,1.019736,1.097487,0.621022,0.232127,0.701643,19.932267,25.084356,0.883004,14.193758,0.499640,1.743148,0.061361,80.382617,122.397967,145.489609,99.306324,46.183285,0.682566
repeat_i,track,frame,fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
4,11,15,sample1_middle_center1,1,1,0,0,-1,0.911311,504.928238,481.498484,528.357992,46.859508,0.970838,88.311237,87.004539,89.617936,2.613397,0.963011,1.123270,1.102105,1.144436,0.042331,0.966880,0.813011,0.799321,0.826701,0.027380,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,19.865516,0.884305,1.020474,0.810795,0.017108,1.146610,25.758075,17.692642,0.787580,9.877162,0.439678,0.399206,0.017770,68.457447,172.503765,176.382742,168.624788,7.757954,0.956016
4,11,16,sample1_middle_center1,1,1,0,0,-1,0.921609,576.871289,553.338224,600.404354,47.066130,0.975641,95.539448,94.361467,96.717428,2.355962,0.853419,1.240661,1.142541,1.338781,0.196240,0.968204,0.793751,0.780928,0.806574,0.025646,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,21.289573,0.886580,1.072811,0.791037,0.015985,1.159716,27.848419,18.667444,0.777384,10.455439,0.435405,0.061180,0.002548,59.751496,175.788656,176.697831,174.879481,1.818349,0.989709
