feature,operator,threshold,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_pos,support_neg,evaluated_pairs,pred_pos,pred_neg,selected_pairs_raw,selected_pairs_evaluated,skipped_exception,skipped_missing_observed
randomScore,>=,0.53,232,957,882,5502,0.1951219512195122,0.20825852782764812,0.8518346493265211,0.20147633521493702,0.7571636075531494,0.5300465885770846,1114,6459,7573,1189,6384,1189,1189,51,0
randomScore,>=,0.54,229,952,885,5507,0.1939034716342083,0.20556552962298025,0.8526087629664034,0.19956427015250544,0.757427703684141,0.5290871462946918,1114,6459,7573,1181,6392,1181,1181,51,0
randomScore,>=,0.55,225,946,889,5513,0.19214346712211786,0.20197486535008977,0.8535376993342623,0.19693654266958427,0.7576917998151327,0.527756282342176,1114,6459,7573,1171,6402,1171,1171,51,0
randomScore,>=,0.56,226,937,888,5522,0.1943250214961307,0.20287253141831238,0.8549311038860504,0.19850680720245936,0.7590122804700911,0.5289018176521814,1114,6459,7573,1163,6410,1163,1163,51,0
randomScore,>=,0.57,220,933,894,5526,0.19080659150043366,0.19748653500897667,0.8555503947979564,0.19408910454344952,0.7587481843390994,0.5265184649034665,1114,6459,7573,1153,6420,1153,1153,51,0
randomScore,>=,0.58,214,924,900,5535,0.18804920913884007,0.19210053859964094,0.8569437993497445,0.19005328596802842,0.759144328535587,0.5245221689746927,1114,6459,7573,1138,6435,1138,1138,51,0
randomScore,>=,0.59,210,916,904,5543,0.18650088809946713,0.18850987432675045,0.8581823811735563,0.1875,0.7596725207975703,0.5233461277501533,1114,6459,7573,1126,6447,1126,1126,51,0
randomScore,>=,0.6,206,908,908,5551,0.18491921005385997,0.18491921005385997,0.859420962997368,0.18491921005385997,0.7602007130595537,0.522170086525614,1114,6459,7573,1114,6459,1114,1114,51,0
randomScore,>=,0.61,205,900,909,5559,0.18552036199095023,0.18402154398563733,0.8606595448211798,0.1847679134745381,0.7611250495180245,0.5223405444034086,1114,6459,7573,1105,6468,1105,1105,51,0
randomScore,>=,0.62,205,894,909,5565,0.18653321201091902,0.18402154398563733,0.8615884811890385,0.18526886579304114,0.7619173379109996,0.5228050125873379,1114,6459,7573,1099,6474,1099,1099,51,0
randomScore,>=,0.63,204,886,910,5573,0.1871559633027523,0.18312387791741472,0.8628270630128503,0.18511796733212343,0.7628416743694705,0.5229754704651325,1114,6459,7573,1090,6483,1090,1090,51,0
randomScore,>=,0.64,199,875,915,5584,0.18528864059590316,0.17863554757630162,0.8645301130205915,0.18190127970749542,0.7636339627624456,0.5215828302984465,1114,6459,7573,1074,6499,1074,1074,51,0
randomScore,>=,0.65,198,867,916,5592,0.18591549295774648,0.17773788150807898,0.8657686948444031,0.18173474070674622,0.7645582992209164,0.521753288176241,1114,6459,7573,1065,6508,1065,1065,51,0
randomScore,>=,0.66,196,860,918,5599,0.1856060606060606,0.17594254937163376,0.8668524539402385,0.1806451612903226,0.7652185395483956,0.5213975016559361,1114,6459,7573,1056,6517,1056,1056,51,0
randomScore,>=,0.67,194,848,920,5611,0.18618042226487524,0.1741472172351885,0.868710326675956,0.17996289424860856,0.7665390202033541,0.5214287719555722,1114,6459,7573,1042,6531,1042,1042,51,0
randomScore,>=,0.68,192,842,922,5617,0.18568665377176016,0.17235188509874327,0.8696392630438148,0.17877094972067042,0.7670672124653374,0.520995574071279,1114,6459,7573,1034,6539,1034,1034,51,0
randomScore,>=,0.69,191,831,923,5628,0.18688845401174167,0.17145421903052063,0.871342313051556,0.1788389513108614,0.7683876931202958,0.5213982660410383,1114,6459,7573,1022,6551,1022,1022,51,0
randomScore,>=,0.7,182,817,932,5642,0.18218218218218218,0.16337522441651706,0.8735098312432265,0.17226691907240888,0.769047933447775,0.5184425278298718,1114,6459,7573,999,6574,999,999,51,0
randomScore,>=,0.71,181,795,933,5664,0.18545081967213115,0.16247755834829444,0.8769159312587088,0.17320574162679425,0.7718209428231877,0.5196967448035016,1114,6459,7573,976,6597,976,976,51,0
randomScore,>=,0.72,176,784,938,5675,0.18333333333333332,0.15798922800718132,0.8786189812664499,0.16972034715525552,0.7726132312161627,0.5183041046368156,1114,6459,7573,960,6613,960,960,51,0
randomScore,>=,0.73,173,770,941,5689,0.18345705196182396,0.15529622980251345,0.8807864994581205,0.16820612542537677,0.774065759936617,0.518041364630317,1114,6459,7573,943,6630,943,943,51,0
randomScore,>=,0.74,166,758,948,5701,0.17965367965367965,0.1490125673249551,0.8826443721938381,0.16290480863591753,0.7747260002640961,0.5158284697593966,1114,6459,7573,924,6649,924,924,51,0
