phase,track,repeat_i,frame,x,time_label,normalized_time_percent,junctionAngleAverageDegrees,occurrence_i,initial_frame,final_frame,normalization_denominator,pairIndex,firstPolygonId,secondPolygonId,fileName,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
after_division,22.0,2,25,100.0,1 cycle,,113.799165,2.0,,,,3.0,1.0,0.0,sample1_middle_down1,0,-1,0.695461,858.621357,704.395597,1012.847117,308.451520,0.847915,113.543318,104.198582,122.888053,18.689471,0.899096,1.092561,1.034510,1.150612,0.116102,0.967316,0.829046,0.815273,0.842819,0.027547,0.999877,0.999939,0.999877,1.000000,0.000123,0.857143,6.500000,6.000000,7.000000,1.000000,31.181655,1.068492,1.698510,0.557480,0.161953,0.519835,15.170280,27.179708,0.931359,15.559414,0.533170,2.704115,0.092661,88.336740,165.634533,61.963797,103.670736,0.374100
after_division,22.0,2,26,120.0,1 cycle + 2h,,138.361374,1.0,,,,1.0,2.0,1.0,sample1_middle_down1,0,-1,0.313849,673.816016,321.919273,1025.712759,703.793486,0.613201,99.227213,75.435356,123.019069,47.583713,0.967504,1.039536,1.022367,1.056706,0.034339,0.834673,0.781303,0.710897,0.851708,0.140811,1.000000,1.000000,1.000000,1.000000,0.000000,0.571429,5.500000,4.000000,7.000000,3.000000,26.425589,1.057682,1.330308,0.653020,0.166375,0.748802,18.708398,24.439480,0.978188,12.479067,0.499474,9.795461,0.392063,79.985874,152.619427,124.103321,28.516106,0.813155
after_division,22.0,2,26,120.0,1 cycle + 2h,,112.56543,2.0,,,,3.0,1.0,0.0,sample1_middle_down1,0,-1,0.759095,902.163254,778.613749,1025.712759,247.099011,0.884020,115.885187,108.751306,123.019069,14.267764,0.918758,1.067569,1.022367,1.112771,0.090404,0.971342,0.839504,0.827300,0.851708,0.024408,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,32.628437,1.088878,1.827688,0.563006,0.164094,0.518759,15.544719,27.797697,0.927666,16.251877,0.542358,2.057008,0.068647,89.302457,158.376146,66.754713,91.621432,0.421495
after_division,21.0,3,24,100.0,1 cycle,,166.227768,1.0,,,,2.0,0.0,2.0,sample1_lower_right1,0,-1,0.851640,752.160673,691.894675,812.426671,120.531996,0.930374,107.517912,103.639904,111.395919,7.756015,0.881797,1.146867,1.074828,1.218906,0.144078,0.983876,0.816094,0.809461,0.822726,0.013266,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,23.778092,0.867703,1.186324,0.818491,0.041851,1.150623,31.531085,20.815063,0.759577,11.885263,0.433713,2.009873,0.073344,80.505566,172.903875,159.551661,13.352214,0.922777
after_division,21.0,3,25,120.0,1 cycle + 2h,,167.924458,1.0,,,,2.0,2.0,0.0,sample1_lower_right1,0,-1,0.833557,755.893158,687.276033,824.510282,137.234249,0.923684,107.666866,103.395507,111.938224,8.542717,0.913603,1.183941,1.130487,1.237395,0.106907,0.976987,0.817378,0.807863,0.826893,0.019030,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,23.707610,0.863190,1.163154,0.817056,0.044003,1.144175,31.424896,20.698260,0.753620,11.838064,0.431022,2.214637,0.080635,88.046746,177.878773,157.970143,19.908630,0.888078
after_division,22.0,3,24,100.0,1 cycle,,123.323987,1.0,,,,1.0,0.0,1.0,sample1_lower_right1,0,-1,0.943337,789.409602,766.392533,812.426671,46.034138,0.967285,109.573767,107.751615,111.395919,3.644304,0.984992,1.209759,1.200612,1.218906,0.018294,0.991841,0.826111,0.822726,0.829495,0.006768,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,28.334337,1.008575,1.095000,0.625549,0.231249,0.730726,20.528605,24.643401,0.877194,13.794361,0.491017,1.965249,0.069954,76.598984,145.717497,100.930477,44.787021,0.692645
after_division,22.0,3,24,100.0,1 cycle,,129.432249,2.0,,,,3.0,1.0,2.0,sample1_lower_right1,0,-1,0.902794,729.143604,691.894675,766.392533,74.497858,0.961841,105.695760,103.639904,107.751615,4.111710,0.895233,1.137720,1.074828,1.200612,0.125784,0.975848,0.819478,0.809461,0.829495,0.020034,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,29.663948,1.098915,1.624354,0.589733,0.244871,0.650394,17.556639,24.314308,0.900735,14.345285,0.531428,0.722500,0.026765,72.178177,159.346635,99.517862,59.828773,0.624537
after_division,22.0,3,25,120.0,1 cycle + 2h,,130.747105,1.0,,,,1.0,2.0,1.0,sample1_lower_right1,0,-1,0.870297,738.489438,687.276033,789.702843,102.426809,0.951578,106.026225,103.395507,108.656943,5.261436,0.953926,1.157788,1.130487,1.185089,0.054602,0.961123,0.824202,0.807863,0.840540,0.032677,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,30.050709,1.106481,1.684495,0.596054,0.234334,0.655242,17.795595,24.623845,0.906662,14.591720,0.537274,0.253302,0.009327,86.335703,158.770678,102.723533,56.047145,0.646993
after_division,22.0,3,25,120.0,1 cycle + 2h,,122.397967,2.0,,,,3.0,1.0,0.0,sample1_lower_right1,0,-1,0.957784,807.106563,789.702843,824.510282,34.807440,0.970687,110.297584,108.656943,111.938224,3.281281,0.957729,1.211242,1.185089,1.237395,0.052306,0.983763,0.833717,0.826893,0.840540,0.013648,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,28.968622,1.019736,1.097487,0.621022,0.232127,0.701643,19.932267,25.084356,0.883004,14.193758,0.499640,1.743148,0.061361,80.382617,145.489609,99.306324,46.183285,0.682566
after_division,21.0,4,22,100.0,1 cycle,,166.667342,1.0,,,,2.0,2.0,0.0,sample1_middle_center1,0,-1,0.934385,509.846183,492.552097,527.140269,34.588173,0.979529,89.894854,88.965198,90.824510,1.859312,0.912404,1.137613,1.085505,1.189720,0.104215,0.973849,0.792527,0.782027,0.803027,0.021000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,18.905671,0.837404,1.282719,0.804004,0.035436,1.185874,26.772914,15.367429,0.680682,9.445576,0.418380,0.005397,0.000239,72.943835,168.011534,165.323149,2.688385,0.983999
after_division,21.0,4,23,120.0,1 cycle + 2h,,165.184967,1.0,,,,2.0,2.0,0.0,sample1_middle_center1,0,-1,0.869335,529.432081,492.425202,566.438960,74.013758,0.947621,91.045376,88.596831,93.493920,4.897089,0.952898,1.074033,1.048128,1.099937,0.051810,0.968094,0.801331,0.788340,0.814322,0.025982,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,19.621513,0.853283,1.121438,0.793411,0.040071,1.143471,26.294468,16.134068,0.701624,9.786779,0.425599,0.635087,0.027618,71.829712,167.260007,163.109928,4.150079,0.975188
after_division,22.0,4,22,100.0,1 cycle,,123.203968,1.0,,,,1.0,2.0,1.0,sample1_middle_center1,0,-1,0.577264,720.155084,527.140269,913.169898,386.029628,0.771691,104.259990,90.824510,117.695471,26.870961,0.947826,1.158684,1.127648,1.189720,0.062072,0.969366,0.815715,0.803027,0.828404,0.025377,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,31.937286,1.201141,1.165540,0.545174,0.207543,0.494804,13.156411,24.444214,0.919332,15.564682,0.585378,4.091919,0.153894,81.051991,160.353623,86.054312,74.299311,0.536653
