genotype,primordium_id,source_file,cell_1_id,cell_2_id,pair_centroid_x,pair_centroid_y,x_norm,y_norm,region,angle,junction_angle_mean
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,99,103,451.34934,796.406751,0.3555899082625552,0.8370412379382638,apical,88.98282687986125,152.57273
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,101,105,675.9568899999999,801.817085,0.8899222222909475,0.8432249311025096,apical,78.28733168764319,168.275051
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,104,115,622.2887245,881.3255665,0.7622478183749896,0.9340984434496425,apical,87.10806175063676,164.892902
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,106,114,523.684972,883.417623,0.5276734630373892,0.9364895408344373,apical,79.92209619483219,149.508658
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,107,108,382.288837,885.952477,0.19129775345317895,0.9393867296867634,apical,21.885694723942695,171.189827
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,109,111,576.0834935,867.528778,0.6523274350199048,0.9183295266441375,apical,22.205795708028763,164.810437
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,110,113,455.19368299999996,882.792594,0.3647354454054912,0.9357751694934525,apical,82.22935154867714,168.268328
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,112,117,667.325525,908.373114,0.8693885526361489,0.9650121974961327,apical,89.10037601847147,157.17378
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,0,3,534.7625499999999,329.147922,0.6469808245233832,0.04838091937460268,basal,82.95097807850281,160.795117
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,1,5,482.71673350000003,349.94858750000003,0.49750870984860235,0.0795614649639872,basal,84.73623470534093,161.979202
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,4,7,372.928581,392.2202545,0.1822044563278152,0.1429274010217916,basal,44.131535535439134,156.942694
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,6,12,583.1673935,452.3669315,0.7859963075151208,0.23308827612689256,basal,35.94327988822381,153.45921
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,8,10,434.0470555,437.5787755,0.35773263983151116,0.21092058287011048,basal,32.431766091281155,179.747032
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,9,13,492.94953399999997,473.6660385,0.5268966305814848,0.265015993863937,basal,79.6498074983411,164.067922
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,11,15,333.3456385,474.7807795,0.0685248847809788,0.2666870092730764,basal,70.80659328249824,166.548988
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,16,17,565.9486575000001,531.083989,0.7365452458347498,0.3510864622926644,basal,17.535495568276307,158.668808
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,18,23,640.2195745,537.2916215,0.9498463672193119,0.3603918072667661,basal,89.65125431738342,160.738588
