junction_threshold_deg,apical_boundary_y,mean_vertical_prop_WT,mean_vertical_prop_rpl4d_3,difference_rpl4d_minus_WT,difference_percentage_points,apical_inferred_divisions_WT,apical_inferred_divisions_rpl4d_3,primordia_WT,primordia_rpl4d_3,p_exact,significant_p_lt_0_05
147.0,0.4,0.5585747053213319,0.6846639758821534,0.12608927056082153,12.608927056082154,256,349,10,10,0.01270865357552664,True
147.0,0.42,0.5565198717168026,0.6858474101638684,0.1293275384470658,12.932753844706578,246,339,10,10,0.013650436251055446,True
147.0,0.44,0.5479037208111782,0.7000346412846412,0.152130920473463,15.213092047346299,240,328,10,10,0.0026954469678927883,True
147.0,0.46,0.554867432804343,0.696437573645498,0.14157014084115493,14.157014084115493,227,310,10,10,0.00780488860984217,True
147.0,0.48,0.5427566252298951,0.6979453380884838,0.1551887128585887,15.518871285858872,216,296,10,10,0.005564095347377081,True
147.0,0.5,0.5485295815295815,0.7009139026004384,0.15238432107085687,15.238432107085686,206,283,10,10,0.008768321461819913,True
147.0,0.52,0.5557419500577396,0.7063084807891341,0.15056653073139448,15.056653073139447,199,275,10,10,0.009158024637900799,True
147.0,0.54,0.5604307242465137,0.709373135296396,0.14894241104988226,14.894241104988225,187,260,10,10,0.0111498408712031,True
147.0,0.56,0.5512844712383681,0.7150283310149061,0.16374385977653805,16.374385977653805,177,250,10,10,0.005304293229989825,True
147.0,0.58,0.5450936563436563,0.7194238217922428,0.1743301654485866,17.43301654485866,165,231,10,10,0.004059408084175886,True
147.0,0.6,0.5304858299595142,0.7202052383625425,0.18971940840302826,18.971940840302825,154,220,10,10,0.001125809175344779,True
148.0,0.4,0.5595101951188907,0.6838097195454724,0.12429952442658176,12.429952442658177,250,345,10,10,0.012676178310853234,True
148.0,0.42,0.5573064070883145,0.6850269717021635,0.12772056461384906,12.772056461384906,240,335,10,10,0.01315248219272987,True
148.0,0.44,0.5486393811318149,0.6991906241906242,0.1505512430588093,15.055124305880929,234,324,10,10,0.0024031695858321247,True
148.0,0.46,0.5558262539945809,0.6955428106172666,0.13971655662268578,13.971655662268578,221,306,10,10,0.007750763168719825,True
148.0,0.48,0.5450306318607234,0.6970495695815244,0.152018937720801,15.2018937720801,211,292,10,10,0.005780597111866462,True
148.0,0.5,0.5509035409035408,0.7001411340335522,0.1492375931300114,14.923759313001138,201,279,10,10,0.009266275520145488,True
148.0,0.52,0.5588717948717948,0.7057200169653762,0.1468482220935814,14.684822209358138,194,271,10,10,0.01037043451904133,True
148.0,0.54,0.5634779329792118,0.7096438389372185,0.14616590595800671,14.616590595800671,182,257,10,10,0.012318950399445755,True
148.0,0.56,0.5560460372960373,0.7153245632076901,0.1592785259116528,15.927852591165282,173,247,10,10,0.006235250817294161,True
148.0,0.58,0.5497282374488257,0.7176456231390442,0.16791738569021852,16.791738569021852,161,229,10,10,0.005217692524194072,True
148.0,0.6,0.5357109024446485,0.718419097382853,0.18270819493820456,18.270819493820454,150,218,10,10,0.0016237632336703544,True
149.0,0.4,0.5534909088496046,0.684726433552168,0.1312355247025634,13.123552470256339,242,336,10,10,0.011777695988222304,True
149.0,0.42,0.5529689030775986,0.685853535292946,0.1328846322153474,13.288463221534741,233,326,10,10,0.0140509645153608,True
149.0,0.44,0.547285871387702,0.7003783864661813,0.15309251507847932,15.309251507847932,228,315,10,10,0.0032042261144428325,True
149.0,0.46,0.5542438187164933,0.6967838755794691,0.14254005686297577,14.254005686297578,215,297,10,10,0.009612678343328499,True
149.0,0.48,0.5434889014494277,0.6983685265242794,0.15487962507485165,15.487962507485165,205,283,10,10,0.007274459286843188,True
149.0,0.5,0.5493650793650793,0.7023251197979459,0.1529600404328666,15.29600404328666,195,271,10,10,0.010760137695122214,True
149.0,0.52,0.5573717948717948,0.7084871840873821,0.15111538921558731,15.111538921558731,188,263,10,10,0.011691095282426551,True
149.0,0.54,0.5574742462260971,0.7114985818954098,0.15402433566931273,15.402433566931272,178,251,10,10,0.012665353222628765,True
149.0,0.56,0.5494024229124849,0.7163311073458132,0.1669286844333283,16.69286844333283,169,240,10,10,0.006635779081599515,True
149.0,0.58,0.5422924297924298,0.7184736622073578,0.176181232414928,17.6181232414928,157,222,10,10,0.0053475935828877,True
149.0,0.6,0.5258145316156152,0.7205814360188759,0.19476690440326072,19.476690440326074,147,212,10,10,0.00145056182207885,True
150.0,0.4,0.5550861773918039,0.6840468494018833,0.12896067201007944,12.896067201007943,238,327,10,10,0.009883305548940223,True
150.0,0.42,0.554623695429322,0.6853298247890278,0.13070612935970582,13.070612935970583,229,317,10,10,0.011756045811773365,True
