job_index,split_index,split_id,model_name,feature_mode,status,elapsed_seconds,worker_pid,worker_log,summary_json,error
90,11,split_012,svm,all,succeeded,172.86508146859705,3101779,output/all_satisfying_primordia_splits/split_012/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_012/models/all/svm/training_summary.json,
91,11,split_012,xgboost,all,succeeded,203.29339334741235,3101772,output/all_satisfying_primordia_splits/split_012/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_012/models/all/xgboost/training_summary.json,
92,11,split_012,lightgbm,all,succeeded,240.2986517008394,3101763,output/all_satisfying_primordia_splits/split_012/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_012/models/all/lightgbm/training_summary.json,
93,11,split_012,lr,selected4,succeeded,222.89809066057205,3101791,output/all_satisfying_primordia_splits/split_012/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_012/models/selected4/lr/training_summary.json,
94,11,split_012,svm,selected4,succeeded,175.9748534988612,3101778,output/all_satisfying_primordia_splits/split_012/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_012/models/selected4/svm/training_summary.json,
95,11,split_012,xgboost,selected4,succeeded,194.9619431272149,3101767,output/all_satisfying_primordia_splits/split_012/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_012/models/selected4/xgboost/training_summary.json,
96,11,split_012,lightgbm,selected4,succeeded,204.28961017169058,3101789,output/all_satisfying_primordia_splits/split_012/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_012/models/selected4/lightgbm/training_summary.json,
97,12,split_013,lr,all,succeeded,207.91888431087136,3101780,output/all_satisfying_primordia_splits/split_013/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_013/models/all/lr/training_summary.json,
98,12,split_013,svm,all,succeeded,174.77619912475348,3101765,output/all_satisfying_primordia_splits/split_013/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_013/models/all/svm/training_summary.json,
99,12,split_013,xgboost,all,succeeded,203.2256760261953,3101768,output/all_satisfying_primordia_splits/split_013/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_013/models/all/xgboost/training_summary.json,
100,12,split_013,lightgbm,all,succeeded,240.4470867384225,3101773,output/all_satisfying_primordia_splits/split_013/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_013/models/all/lightgbm/training_summary.json,
101,12,split_013,lr,selected4,succeeded,219.4346819911152,3101777,output/all_satisfying_primordia_splits/split_013/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_013/models/selected4/lr/training_summary.json,
102,12,split_013,svm,selected4,succeeded,172.81300282850862,3101785,output/all_satisfying_primordia_splits/split_013/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_013/models/selected4/svm/training_summary.json,
103,12,split_013,xgboost,selected4,succeeded,194.00671805255115,3101776,output/all_satisfying_primordia_splits/split_013/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_013/models/selected4/xgboost/training_summary.json,
104,12,split_013,lightgbm,selected4,succeeded,201.20537833310664,3101797,output/all_satisfying_primordia_splits/split_013/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_013/models/selected4/lightgbm/training_summary.json,
105,13,split_014,lr,all,succeeded,216.4954404104501,3101796,output/all_satisfying_primordia_splits/split_014/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_014/models/all/lr/training_summary.json,
106,13,split_014,svm,all,succeeded,176.43984591402113,3101784,output/all_satisfying_primordia_splits/split_014/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_014/models/all/svm/training_summary.json,
107,13,split_014,xgboost,all,succeeded,205.6693465281278,3101792,output/all_satisfying_primordia_splits/split_014/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_014/models/all/xgboost/training_summary.json,
